ovoNumber;(operationele einddatum ook invullen als) formele einddatum;Naam (algemeen);id;;;;;
OVO038274;31/08/2019;Ontwerp en Topografie;788a22de-b4fb-088c-ff1c-36ff0705221e;;;;;
OVO049874;30/03/2015;PBD;6f84954e-6c73-d7b5-0c09-5b0cd89de616;;;;;
OVO041461;14/09/2020;Paramedische beroepen;8b6a3a33-95d8-e4c4-861b-e346571c5da8;;;;;
OVO028901;30/04/2019;Partnerschappen met best. en maatschap. Ant.;2ac64da5-7832-bf96-878d-8022ca5843ff;;;;;
OVO028911;30/04/2019;Partnerschappen met best. en maatschap. Duinpanne;016d0126-2a29-2e09-091c-a2ff8c4d3aeb;;;;;
OVO028905;30/04/2019;Partnerschappen met best. en maatschap. Limburg;96875807-0222-4f48-52cf-78940de60acf;;;;;
OVO028903;30/04/2019;Partnerschappen met best. en maatschap. O-Vl;b18fd112-aee1-a322-3cda-6b502e86bac1;;;;;
OVO028904;30/04/2019;Partnerschappen met best. en maatschap. Vl-Br;8e39e3e5-5e0c-15c9-0f6d-9f9f54a43492;;;;;
OVO028902;30/04/2019;Partnerschappen met best. en maatschap. W-Vl;278aaef4-53a2-ba07-c087-07062def0b45;;;;;
OVO039575;17/01/2021;Personeelsmanagement;4b06000a-9225-a54b-316c-40c888fc5006;;;;;
OVO044930;30/04/2019;Proces Beschermen;3e2ecd1a-8962-1836-2585-128d7a875047;;;;;
OVO044929;30/04/2019;Proces Inventariseren;076eefc4-5688-1fab-affc-f142f349e7a1;;;;;
OVO041235;16/03/2021;Proeftuinen;d5d3826e-d951-4b65-ec39-80d0d330ba28;;;;;
OVO038483;31/12/2015;Projectingenieur kunstwerken;e68f15a8-619d-dde6-4e07-cbb3975f6c03;;;;;
OVO039480;31/03/2015;Projectteam inkanteling controles dienstencheques;fcaf8270-428e-e852-68d8-e51214ea7d92;;;;;
OVO040260;30/09/2020;Provinciale dienst Antwerpen Financiën;405a0091-b0c5-2cad-473b-c07c1a154f65;;;;;
OVO040257;30/09/2020;Provinciale dienst Centraal bestuur Financiën;d97f3854-4e1c-b7cc-fd09-791a9a725055;;;;;
OVO040262;30/09/2020;Provinciale dienst Limburg Financiën;d0b53d06-fd23-8804-930e-5e6115f446bf;;;;;
OVO040259;30/09/2020;Provinciale dienst O-Vlaanderen Financiën;48319245-66f0-76bd-e12d-02bf031ea048;;;;;
OVO040261;30/09/2020;Provinciale dienst Vl-Brabant Financiën;c51f1247-a816-e32c-bb42-fd05bb15de4b;;;;;
OVO040258;30/09/2020;Provinciale dienst W-Vlaanderen Financiën;20602243-d0e4-24af-3ba9-d080466ee67e;;;;;
OVO044538;31/05/2016;Recreatiewater;803a38bd-51d3-f14d-877f-09a8c68d240b;;;;;
OVO029099;30/06/2020;Regio Limburg 2;c0151a81-550b-bca5-892e-d7c19062b4a7;;;;;
OVO039741;30/03/2021;Renovatie en Nieuwbouw;3e6071b2-271e-dc1e-bda7-a171cc88ba02;;;;;
OVO039742;30/03/2021;Renovatie en nieuwbouw 1;35f0fb0b-a549-ecf1-81e0-6fc89ab9526d;;;;;
OVO039743;30/03/2021;Renovatie en nieuwbouw 2;565ba48d-a3a5-57e2-710b-4fa0fc7f76a8;;;;;
OVO039744;30/03/2021;Renovatie en nieuwbouw 3;023e3497-308d-c61f-55fd-a36b3a7db636;;;;;
OVO039745;30/03/2021;Renovatie en nieuwbouw 4;3077ea77-430d-8c19-baaf-a9d312c4f5c0;;;;;
OVO044536;31/05/2016;Risico-analyse/Hotspotwerking;b6bd34b0-fc2c-9f82-9390-ba9dcb454c69;;;;;
OVO040231;30/11/2019;Schoonmaak;f373db07-098d-4632-605b-c6af1490bb7e;;;;;
OVO040132;31/03/2019;Schoonmaak;fec5ca26-39c5-16d5-a815-388dc7d06f33;;;;;
OVO041677;31/10/2020;Schrijnwerker;d160d4f3-231e-272b-f8a7-1f38212bcf46;;;;;
OVO039417;31/12/2017;Secr. Adm. Ond. & Horizontale Functies ASEDO;af558845-e97c-76d9-e80e-856b612a9da1;;;;;
OVO037529;31/08/2020;Secretariaat;467079f7-6738-beae-44fc-6c0ff025020c;;;;;
OVO037541;31/08/2020;Secretariaat;85faec38-adf5-5f39-cb95-98dc933c7a01;;;;;
OVO041233;16/03/2021;Secretariaat;f247e285-fa67-099d-4b41-ac47d2f4b75e;;;;;
OVO041230;16/03/2021;Secretariaat;34a4dbfc-f87c-e097-829c-2cfcf1c3a83b;;;;;
OVO037476;31/12/2009;Secretariaat;848b2723-a9f9-ff30-3b99-078c2eb1d04a;;;;;
OVO039445;31/03/2015;Secretariaat Juridische diensten & Erkenningen;04316466-6dbc-1eb8-5db9-d1eb804c593a;;;;;
OVO039350;30/07/2018;Secretariaat SG;0452a8de-1a9d-bda4-30ea-862eac85f516;;;;;
OVO039474;31/12/2017;Secretariaat Toezicht & Handhaving;63686b4d-e970-a714-c591-dbff06b447af;;;;;
OVO039405;31/12/2017;Secretariaat Werkgelegenheidsbeleid;58712d5d-1500-48de-586c-5ffc6550443c;;;;;
OVO039495;31/12/2017;Secretariaat en administratieve ondersteuning ESF;6d9c15fe-7a22-a83b-1e99-b044cc7f86d5;;;;;
OVO037640;9/07/2020;Sectie Terreinproeven I;0de3f569-fbec-7744-e33c-403daa9205da;;;;;
OVO040294;30/04/2019;Siros;afe9f16d-99f0-6b2f-4065-721096ff51f6;;;;;
OVO040110;31/03/2019;Sportttechnisch;707f6ee8-dd6a-14d6-ee3e-f99989bd87ed;;;;;
OVO040507;30/06/2017;Staf;f0ff677c-6863-e6e2-6096-79ef9a009623;;;;;
OVO040250;30/09/2018;Staf;d7e3d513-f6e8-4515-c20f-7301c7d35600;;;;;
OVO037081;30/06/2018;Staf 1;d3d27219-8fd6-1241-6821-537a63e9c888;;;;;
OVO037082;30/06/2018;Staf 2;be9e34a5-9ae4-d718-28ef-638fb95b7fae;;;;;
OVO041379;13/10/2020;Staf Diensten van de Administrateur-generaal JW;ffeb0e03-e09e-10bd-4b14-10f62f3caaaf;;;;;
OVO048260;31/12/2020;Substaf 4;462a1be4-ce90-7ac9-f75b-034e9bc66104;;;;;
OVO037998;31/12/2020;Subteam Erkenning en Lay-out;77c84afd-4836-472d-76fc-1317483da822;;;;;
OVO037599;31/08/2020;TK Vlaams-Brabant;06838168-ae53-7b4f-e539-d2f969415ffc;;;;;
OVO029109;30/11/2019;Team 1 West;6bcd25f8-a9fe-4469-7890-50bc00415eae;;;;;
OVO036904;31/03/2020;Team 1 West;b7897537-1e7b-d20d-d6cc-28dc1a87a87c;;;;;
OVO029110;30/11/2019;Team 2 Centrum;58928610-9ba9-2a35-9874-c80730b7bfac;;;;;
OVO036905;31/03/2020;Team 2 Leerplicht;723e485f-341e-11ae-7981-1a3a745137d1;;;;;
OVO036906;31/03/2020;Team 3 Noord;11232bf0-8ba3-3ae8-dbdb-eff5533ecf0a;;;;;
OVO036907;31/03/2020;Team 4 Oost;109dc868-2b46-9af0-5369-7a7eab6a6206;;;;;
OVO036908;31/03/2020;Team 5 Klantenondersteuning;0528889d-8a3b-8e30-d024-7fdbca557832;;;;;
OVO036909;31/03/2020;Team 6 Zuid;2b5ec57f-f718-ad27-551a-439c013687cd;;;;;
OVO039917;31/01/2021;Team AMC 1;e9650b91-1e1e-4f01-b0f9-463317a35760;;;;;
OVO039918;31/01/2021;Team AMC 2;6e00fa93-9fe4-2528-7772-2771b650c533;;;;;
OVO040515;30/06/2017;Team ANG1;c8cf8af0-c28c-8c15-a444-954b97d9fdeb;;;;;
OVO037460;30/06/2010;Team Algemeen Beleid;6c682371-fd8f-3d32-92b5-5a5d1df4fb34;;;;;
OVO039438;31/12/2017;Team Analyse en Monitoring;10e47807-2267-5fad-a294-74172ad16921;;;;;
OVO029112;30/11/2019;Team Antwerpen;71f34e50-1633-7a29-4a4f-33dc1fa8581e;;;;;
OVO040529;30/06/2017;Team BRK;9ac0cf69-f1b1-968c-f27f-3d9f363ce2d6;;;;;
OVO040554;30/06/2017;Team BRK;0a46bd83-bdb5-f4b2-4220-21ff58631f44;;;;;
