VO_OVOCODE;VO_PG_DEPTIDOVO;VO_PG_DEPTIDtotOVO nieuw (sleutel geldig tot)
OVO045516;1 B 3D WB;31/03/2015
OVO045517;1 B 3D WC;31/03/2015
OVO045518;1 B 3D WD;31/03/2015
OVO045519;1 B 3D WE;31/03/2015
OVO045520;1 B 3D WF;31/03/2015
OVO045521;1 B 3D WG;31/03/2015
OVO045522;1 B 3D WH;31/03/2015
OVO045523;1 B 3D WJ;31/03/2015
OVO045524;1 B 3D WK;31/03/2015
OVO045525;1 B 3D WL;31/03/2015
OVO045526;1 B 3D WM;31/03/2015
OVO045527;1 B 3D WN;31/03/2015
OVO045528;1 B 3E A;31/12/2011
OVO045530;1 B 3E B;31/12/2011
OVO045529;1 B 3E C;31/03/2015
OVO045531;1 B 3E DA;31/12/2011
OVO045533;1 B 3E DC;31/03/2015
OVO045534;1 B 3E DD;31/12/2011
OVO045535;1 B 3E DE;31/12/2011
OVO045536;1 B 3E DF;31/03/2015
OVO045537;1 B 3E DG;31/03/2015
OVO045538;1 B 3E DH;31/03/2015
OVO045539;1 B 3E DHA;31/03/2015
OVO045540;1 B 3E DJ;31/03/2015
OVO045541;1 B 3E DJA;31/03/2015
OVO002448;1 B 3E E;31/12/2011
OVO045542;1 B 3E EA;31/12/2011
OVO045543;1 B 3E EB;31/12/2011
OVO045544;1 B 3E EBA;31/12/2011
OVO045545;1 B 3E EBB;31/12/2011
OVO045546;1 B 3E EBC;31/12/2011
OVO045547;1 B 3E EC;31/12/2011
OVO045548;1 B 3E ED;31/12/2011
OVO045549;1 B 3E EE;31/12/2011
OVO045550;1 B 3E EEA;31/12/2011
OVO045551;1 B 3E EEAA;31/12/2011
OVO045552;1 B 3E EEB;14/01/2012
OVO002445;1 B 3E F;31/12/2011
OVO045553;1 B 3E FA;31/12/2011
OVO045554;1 B 3E FB;31/12/2011
OVO045555;1 B 3E FC;31/12/2011
OVO045556;1 B 3E FD;31/12/2011
OVO045557;1 B 3E FE;31/12/2011
OVO045558;1 B 3E FF;31/12/2011
OVO045559;1 B 3E GA;31/03/2015
OVO045560;1 B 3E GB;31/03/2015
OVO045561;1 B 3E GBA;31/03/2015
OVO045562;1 B 3E GBB;31/03/2015
OVO045563;1 B 3E GC;31/03/2015
OVO045564;1 B 3E GD;31/03/2015
OVO045565;1 B 3E GDA;31/12/2013
OVO045566;1 B 3E H;31/03/2015
OVO045567;1 B 3E J;31/12/2011
OVO040629;1 B 3E K;31/03/2015
OVO045568;1 B 3E KA;31/03/2015
OVO045569;1 B 3E KB;31/03/2015
OVO045570;1 B 3E KC;31/03/2015
OVO045571;1 B 3E KD;31/12/2011
OVO045572;1 B 3E KE;31/12/2011
OVO045573;1 B 3E KF;28/02/2013
OVO045574;1 B 3E KG;31/03/2015
OVO002447;1 B 3E L;31/03/2015
OVO039296;1 B 3E M;31/12/2011
OVO002446;1 B 3E N;31/12/2011
OVO045575;1 B 3E NA;31/12/2011
OVO045576;1 B 3E NB;31/12/2011
OVO045577;1 B 3E NC;31/12/2011
OVO045578;1 B 3E ND;31/12/2011
OVO045579;1 B 3E NDA;31/12/2011
OVO045580;1 B 3E NDB;31/12/2011
OVO045581;1 B 3E NDC;31/12/2011
OVO045582;1 B 3E PA;31/03/2015
OVO045583;1 B 3E PB;31/03/2015
OVO045584;1 B 3E PBA;31/03/2015
OVO045585;1 B 3E PBB;31/03/2015
OVO045586;1 B 3E PC;31/03/2015
OVO045587;1 B 3E PD;31/03/2015
OVO045588;1 B 3E PE;31/03/2015
OVO045589;1 B 3E PF;31/03/2015
OVO045591;1 B 3E QA;31/03/2015
OVO045592;1 B 3E QB;31/03/2015
OVO045593;1 B 3E QC;31/03/2015
OVO000025;1 B 3F;31/03/2015
OVO045595;1 B 3F A;31/12/2011
OVO045597;1 B 3F AA;31/12/2011
OVO045598;1 B 3F AB;31/12/2011
OVO045596;1 B 3F B;31/12/2011
OVO045599;1 B 3F BA;31/12/2011
